id,label,country,Lat ,Lon
KYI,Yalata Mission,Australia,-31.483333,131.866667
LBH,Palm Beach SPB,Australia,33.966667,151.25
LCN,Balcanoona,Australia,-30.533333,139.316667
LDC,Lindeman Island,Australia,-20.45,149.05
LDH,Lord Howe Island,Australia,-31.516667,159.05
LDW,Lansdowne,Australia,-17.583333,126.833333
LEA,Learmonth,Australia,-22.233333,114.1
LEL,Lake Evella,Australia,-12.216667,136.25
LER,Leinster,Australia,-27.833333,120.616667
LFP,Lakefield,Australia,-14.916667,144.333333
LGE,Lake Gregory,Australia,-28.916667,139.0
LGH,Leigh Creek,Australia,-30.466667,138.416667
LHG,Lightning Ridge,Australia,-29.4,147.966667
LIB,Limbunya,Australia,-17.333333,129.833333
LKD,Lakeland Downs,Australia,-16.166667,145.5
LLG,Chillagoe,Australia,-17.133333,144.533333
LLL,Lissadell,Australia,-16.5,128.666667
LLP,Linda Downs,Australia,-23.016667,138.7
LLT,Lilydale Airport,Australia,-37.691667,145.366667
LNH,Lake Nash,Australia,-21.0,137.916667
LNO,Leonora,Australia,-28.883333,121.3
LOA,Lorraine,Australia,-19.083333,139.966667
LOC,Lock,Australia,-33.566667,135.766667
LRE,Longreach,Australia,-23.44959064,144.2500476
LST,Launceston,Australia,-41.44983559,147.1301818
LSY,Lismore,Australia,-28.81665322,153.2931132
LTP,Lyndhurst,Australia,-19.2,144.383333
LTV,Lotusvale,Australia,-17.083333,141.366667
LUT,Laura Station,Australia,-15.433333,144.816667
LUU,Laura,Australia,-15.666667,144.166667
LVO,Laverton,Australia,-28.62700071,122.4040425
LWH,Lawn Hill,Australia,-18.633333,138.633333
LYT,Lady Elliot Island,Australia,-24.116667,152.7
LZR,Lizard Island,Australia,-14.666667,145.466667
MBB,Marble Bar,Australia,-21.25,119.583333
MBF,Mount Buffalo,Australia,-22.583333,149.466667
MBH,Maryborough,Australia,-25.54910073,152.7209
MBN,Mt Barnett,Australia,-16.666667,125.95
MBW,Moorabbin,Australia,-37.975833,145.102222
MCV,Mcarthur River Mine,Australia,-16.466667,136.083333
MCY,Sunshine Coast,Australia,-26.67998777,153.0500272
MEB,Melbourne (AU),Australia,-37.7,144.866667
MEL,Melbourne (AU),Australia,-37.673333,144.843333
MET,Moreton,Australia,-12.75,142.766667
MFL,Mount Full Stop,Australia,-19.666667,144.9
MFP,Manners Creek,Australia,-22.1,137.983333
MGB,Mount Gambier,Australia,-37.83134845,140.7650406
MGT,Milingimbi Island,Australia,-12.1,134.9
MGV,Margaret River,Australia,-18.616667,126.883333
MHO,Mount House,Australia,-17.166667,125.666667
MHU,Mount Hotham,Australia,-37.166667,146.166667
MIH,Mitchell Plateau,Australia,-14.783333,125.816667
MIM,Merimbula,Australia,-36.89962238,149.9000386
MIN,Minnipa,Australia,-32.833333,135.133333
MIY,Mittiebah,Australia,-18.5,136.266667
MIZ,Mainoru,Australia,-14.3,134.083333
MJK,Shark Bay,Australia,-25.8,113.716667
MJP,Manjimup,Australia,-34.23332518,116.1500057
MKR,Meekatharra,Australia,-26.59999266,118.4832999
MKV,Mt Cavenagh,Australia,-25.966667,133.2
MKY,Mackay,Australia,-21.14389158,149.1500069
MLR,Millicent,Australia,-37.633333,140.583333
MLV,Merluna,Australia,-13.066667,142.45
MMG,Mount Magnet,Australia,-28.06620807,117.8166739
MMM,Middlemount,Australia,-22.8025,148.704722
MNE,Mungeranie,Australia,-28.016667,138.666667
MNG,Maningrida,Australia,-12.05,134.216667
MNQ,Monto,Australia,-24.883333,151.1
MNV,Mountain Valley,Australia,-14.116667,133.833333
MNW,Macdonald Downs,Australia,-22.5,135.166667
MOO,Moomba,Australia,-28.133333,140.233333
MOV,Moranbah,Australia,-22.00156533,148.0380334
MQA,Mandora,Australia,-19.833333,120.833333
MQE,Marqua,Australia,-22.816667,137.35
MQL,Mildura,Australia,-34.18500771,142.1513643
MRG,Mareeba,Australia,-17.0,145.433333
MRL,Miners Lake,Australia,-20.066667,145.583333
MRP,Marla,Australia,-27.033333,133.116667
MRT,Moroak,Australia,-14.816667,133.7
MRZ,Moree,Australia,-29.469895,149.8300687
MSF,Mount Swan,Australia,-22.666667,134.916667
MTD,Mt Sandford,Australia,-16.983333,130.55
MTL,Maitland,Australia,-32.72096271,151.555028
MTQ,Mitchell,Australia,-26.4,147.9
MUP,Mulga Park,Australia,-25.85,131.6
MUQ,Muccan,Australia,-20.633333,120.033333
MVH,Macksville,Australia,-30.716667,152.916667
MVK,Mulka,Australia,-28.35,138.65
MVU,Musgrave,Australia,-14.166667,143.683333
MWB,Morawa,Australia,-29.21626707,116.0000406
MWT,Moolawatana,Australia,-29.916667,139.716667
MWY,Miranda Downs,Australia,-17.366667,141.866667
MXD,Marion Downs,Australia,-23.5,139.666667
MXQ,Mitchell River,Australia,-15.666667,141.8
MXU,Mullewa,Australia,-28.55,115.516667
MYA,Moruya,Australia,-35.9,150.133333
MYI,Murray Island,Australia,-9.933333,144.016667
MYO,Myroodah,Australia,-18.2,124.2
NAA,Narrabri,Australia,-30.33190957,149.7874357
NAC,Naracoorte,Australia,-36.966667,140.583333
NBH,Nambucca Heads,Australia,-30.65,153.0
NBR,Nambour,Australia,-26.633333,152.95
NDS,Sandstone,Australia,-28.0,119.25
NGA,Young,Australia,-34.30959959,148.2900077
NIF,Nifty,Australia,-21.67,121.59
NKB,Noonkanbah,Australia,-18.5,124.833333
NLF,Darnley Island,Australia,-9.566667,143.75
NLL,Nullagine,Australia,-21.75,120.2
NLS,Nicholson,Australia,-18.041667,128.9
NMP,New Moon,Australia,-20.166667,143.966667
NMR,Nappa Merry,Australia,-27.633333,141.083333
NOA,Nowra,Australia,-34.88284625,150.6000476
NPP,Napperby,Australia,-22.633333,132.833333
NRA,Narrandera,Australia,-34.7,146.516667
NRG,Narrogin,Australia,-32.93288776,117.1666361
NRY,Newry,Australia,-16.083333,129.341667
NSA,Noosa,Australia,26.25,153.166667
NSM,Norseman,Australia,-32.20001259,121.7666137
NSO,Scone,Australia,-32.07960651,150.8501098
NSV,Noosaville,Australia,-26.4,153.066667
NTL,Newcastle (AU),Australia,-32.795,151.834444
NTN,Normanton,Australia,-17.7,141.066667
NUB,Numbulwar,Australia,-14.266667,135.716667
NUR,Nullarbor,Australia,-31.433333,130.916667
NYN,Nyngan,Australia,-31.55,147.183333
OAG,Orange,Australia,-33.27999835,149.0999841
OCM,Boolgeeda,Australia,-22.54,117.3
ODD,Oodnadatta,Australia,-27.55,135.433333
ODL,Cordillo Downs,Australia,-26.833333,140.75
ODR,Ord River,Australia,-17.35,128.9
OKB,Fraser Island,Australia,-25.0,153.283333
OKR,Yorke Island,Australia,-9.733333,143.416667
OKY,Oakey,Australia,-27.402778,151.733333
OLP,Olympic Dam,Australia,-30.485,136.876667
ONG,Mornington Island,Australia,-16.583333,139.3
ONR,Monkira,Australia,-24.816667,140.533333
ONS,Onslow,Australia,-21.65759354,115.0962959
OOL,Gold Coast,Australia,-28.08150429,153.4482458
OOM,Cooma,Australia,-36.23955931,149.1200345
OOR,Mooraberree,Australia,-25.245,140.980833
OPI,Oenpelli,Australia,-12.333333,133.083333
ORR,Yorketown,Australia,-35.033333,137.6
ORS,Waterport,Australia,-18.633333,146.483333
OXO,Orientos,Australia,-28.133333,141.533333
OXY,Morney,Australia,-25.366667,141.466667
OYN,Ouyen,Australia,-35.06619424,142.3166772
PBO,Paraburdoo,Australia,-23.233333,117.516667
PBY,Hamilton/Proserpine,Australia,-35.5,148.733333
PDE,Pandie Pandie,Australia,-26.133333,139.383333
PDN,Parndana,Australia,-35.8,137.216667
PEA,Penneshaw,Australia,-35.733333,137.933333
PEP,Peppimenarti,Australia,-14.15,130.1
PER,Perth,Australia,-32.0,115.9
PEY,Penong,Australia,-31.916667,133.016667
PHE,Port Hedland,Australia,-20.31040241,118.6060315
PHJ,Port Hunter,Australia,-32.916667,151.766667
PKE,Parkes,Australia,-33.12956826,148.170015
PKT,Port Keats,Australia,-14.25,129.533333
PLO,Port Lincoln,Australia,-34.73324298,135.86658
PPI,Port Pirie,Australia,-33.19106321,137.9900162
PPP,Proserpine,Australia,-20.41623574,148.5834781
PQQ,Port Macquarie,Australia,-31.44501992,152.9186657
PRD,Pardoo,Australia,-20.133333,119.583333
PTE,Port Stephens,Australia,-32.75,153.8
PTI,Port Douglas,Australia,-16.48458812,145.4587219
PTJ,Portland (AU),Australia,-38.383333,141.633333
PUG,Port Augusta,Australia,-32.49002073,137.7700297
RAM,Ramingining,Australia,-12.0,134.816667
RBC,Robinvale,Australia,-34.65,142.783333
RBS,Orbost,Australia,-37.7,148.5
RBU,Roebourne,Australia,-20.7829317,117.1333048
RCM,Richmond (AU),Australia,-20.716944,143.116667
RCN,American River,Australia,-35.783333,137.783333
RDA,Rockhampton Downs,Australia,-18.95,135.2
RHL,Roy Hill,Australia,-22.633333,119.966667
RKY,Rokeby,Australia,-13.65,142.616667
